"","tag","station","stratum","latitude","longitude"
"112","River 2013","SMC07485","Agriculture",33.947335,-117.614058
"113","River 2013","SMC08094","Urban",33.819517,-117.853601
"114","River 2013","SMC08157","Open",33.539134,-117.264841
"115","River 2013","SMC08183","Urban",34.073347,-117.304332
"116","River 2013","SMC08414","Urban",33.796298,-117.819955
"117","River 2013","SMC08727","Open",34.217107,-117.461789
"118","River 2013","SMC09091","Urban",33.713352,-117.795747
"119","River 2013","SMC09118","Urban",33.808766,-117.86259
"120","River 2013","SMC09162","Urban",32.840879,-116.709882
"121","River 2013","SMC09174","Urban",32.83971,-117.002
"122","River 2013","SMC09325","Agriculture",33.562524,-117.128863
"123","River 2013","SMC10146","Open",33.705409,-116.733559
"124","River 2013","SMC10259","Urban",33.648887,-117.698455
"125","River 2013","SMC11181","Urban",33.888827,-117.502968
"126","River 2013","SMC11394","Open",33.712959,-116.767804
"127","River 2013","SMC11430","Urban",32.848374,-116.860048
"128","River 2013","SMC11593","Agriculture",33.464602,-117.277966
"129","River 2013","SMC11685","Urban",33.509877,-117.634825
"130","River 2013","SMC11880","Urban",34.125293,-118.708279
"131","River 2013","SMC12185","Agriculture",33.099184,-117.130139
"132","River 2013","SMC12246","Urban",32.839821,-117.042847
"133","River 2013","SMC12862","Urban",33.921483,-118.111491
"134","River 2013","SMC12942","Urban",33.477936,-117.678484
"135","River 2013","SMC13062","Urban",32.775505,-117.195571
"136","River 2013","SMC13076","Open",34.066349,-118.931895
"137","River 2013","SMC13187","Urban",33.67808,-117.802457
"138","River 2013","SMC13214","Urban",33.804533,-117.872423
"139","River 2013","SMC13416","Urban",34.098751,-118.715946
"140","River 2013","SMC13630","Urban",33.861193,-118.103514
"141","River 2013","SMC13672","Open",34.075401,-118.70292
"142","River 2013","SMC14099","Urban",33.627729,-117.735584
"143","River 2013","SMC14211","Urban",33.689404,-117.821746
"144","River 2013","SMC14218","Urban",32.829985,-116.736039
"145","River 2013","SMC14952","Urban",34.14268,-118.700899
"146","River 2013","SMC15201","Open",33.117781,-116.854448
"147","River 2013","SMC15464","Open",34.096529,-118.667771
"148","River 2013","SMC15678","Urban",33.80989,-118.090751
"149","River 2013","SMC16045","Urban",33.881907,-117.522493
"150","River 2013","SMC16169","Open",33.746559,-117.593511
"151","River 2013","SMC16232","Urban",34.125498,-118.753172
"152","River 2013","SMC16266","Urban",32.818557,-116.753133
"153","River 2013","SMC16332","Open",34.531705,-118.758128
"154","River 2013","SMC16493","Open",34.686704,-118.845469
"155","River 2013","SMC16892","Agriculture",34.410433,-118.661072
"156","River 2013","SMC16978","Open",34.42319,-118.767716
"157","River 2013","SMC17016","Open",34.118309,-118.780574
"158","River 2013","SMC17378","Agriculture",34.402676,-118.684124
"159","River 2013","SMC17692","Agriculture",34.418874,-118.632647
"160","River 2013","SMC18093","Open",34.69441,-118.856582
"161","River 2013","SMC18116","Urban",34.1569,-118.790484
"162","River 2013","SMC18169","Urban",33.891752,-117.571911
"163","River 2013","SMC18250","Open",34.132222,-118.82051
"164","River 2013","SMC18656","Urban",34.471281,-118.531668
"165","River 2013","SMC18666","Urban",34.172068,-118.763755
"166","River 2013","SMC19228","Agriculture",32.664054,-116.98501
"167","River 2013","SMC19286","Urban",33.718666,-117.788282
"168","River 2013","SMC19399","Urban",33.655516,-117.762242
"169","River 2013","SMC19466","Urban",34.148837,-118.757504
"170","River 2013","SMC19486","Urban",33.676256,-117.826992
"171","River 2013","SMC19669","Urban",33.571597,-117.161068
"172","River 2013","SMC20092","Agriculture",34.414104,-118.656085
"173","River 2013","SMC20994","Urban",34.036391,-118.511299
"174","River 2013","SMC21069","Urban",33.596863,-117.124037
"175","River 2013","SMC21371","Urban",33.894502,-117.578614
"176","River 2013","SMC21382","Agriculture",34.406631,-118.6694
"177","River 2013","SMC21796","Urban",33.991089,-118.409162
"178","River 2013","SMC21921","Urban",33.887803,-117.505747
"179","River 2013","SMC22521","Urban",33.87789,-117.540481
"180","River 2013","SMC23297","Open",34.050062,-118.581031
"181","River 2013","SMC23495","Urban",32.833825,-116.723021
"182","River 2013","SMC24066","Open",34.163219,-118.700774
"183","River 2013","SMC24921","Urban",33.878287,-117.553612
"184","River 2013","SMC25288","Open",33.719514,-116.762141
"185","River 2013","SMC25298","Open",34.045532,-118.687325
"186","River 2013","SMC25949","Open",33.794418,-116.748208
"187","River 2013","SMC26670","Urban",34.163856,-118.76205
"188","River 2013","SMC26694","Urban",32.837708,-116.717062
"189","River 2013","SMC26868","Urban",34.096751,-118.717372
"190","River 2013","SMC27470","Urban",34.174456,-118.76389
"191","River 2013","SMC28068","Urban",34.139362,-118.703664
"192","River 2013","SMC28270","Urban",34.136633,-118.757257
"193","River 2013","SMC29064","Open",33.795643,-116.742608
"194","River 2013","SMC31468","Urban",34.168745,-118.761597
"195","River 2013","SMC32468","Open",34.099898,-118.723049
"196","River 2013","SMC33179","Open",33.473133,-117.143511
"197","River 2013","SMC33361","Open",33.739068,-116.725155
"198","River 2013","SMC33561","Open",33.743563,-116.710304
"199","River 2013","SMC33670","Urban",34.158248,-118.700126
"200","River 2013","SMC34120","Urban",34.165588,-118.789188
"201","River 2013","SMC34230","Open",34.069093,-118.586781
"202","River 2013","SMC34646","Agriculture",34.425565,-118.566167
"203","River 2013","SMC35270","Urban",34.133251,-118.706562
"204","River 2013","SMC35418","Open",34.082618,-118.708577
"205","River 2013","SMC35837","Open",33.736401,-116.826103
"206","River 2013","SMC37670","Urban",34.14074,-118.701178
"207","River 2013","SMC37697","Urban",33.879624,-117.214031
"208","River 2013","SMC39062","Agriculture",34.432302,-118.617144
"209","River 2013","SMC40887","Open",33.763174,-117.46378
"210","River 2013","SMC44210","Urban",34.143019,-118.757795
"211","River 2013","SMC44532","Open",34.126825,-118.796174
"212","River 2013","SMC44642","Open",34.16873,-118.70306
"213","River 2013","SMC45233","Open",33.769972,-116.778785
"214","River 2013","SMC45622","Open",34.061494,-118.585344
"215","River 2013","SMC45745","Open",34.059024,-118.933902
"216","River 2013","SMC00198","Urban",32.937095,-117.138512
"217","River 2013","SMC00206","Urban",33.543591,-117.659637
"218","River 2013","SMC00288","Urban",34.131189,-117.760003
"219","River 2013","SMC00318","Urban",33.812879,-118.205589
"220","River 2013","SMC00345","Urban",33.210482,-117.224843
"221","River 2013","SMC00446","Urban",34.020185,-118.046276
"222","River 2013","SMC00520","Open",34.296261,-118.282527
"223","River 2013","SMC00544","Urban",34.146774,-117.74153
"224","River 2013","SMC00608","Urban",34.123443,-117.902235
"225","River 2013","SMC00632","Urban",34.148748,-118.556047
"226","River 2013","SMC00665","Urban",33.274005,-117.231591
"227","River 2013","SMC00684","Urban",34.096982,-118.023739
"228","River 2013","SMC00686","Urban",34.032203,-117.838198
"229","River 2013","SMC00702","Urban",33.877956,-118.002975
"230","River 2013","SMC00748","Urban",34.075488,-118.078808
"231","River 2013","SMC00766","Urban",33.657186,-117.837392
"232","River 2013","SMC00791","Open",34.279201,-117.446638
"233","River 2013","SMC00830","Urban",33.943059,-118.166062
"234","River 2013","SMC00857","Urban",33.246098,-117.300885
"235","River 2013","SMC00873","Urban",33.598493,-117.626682
"236","River 2013","SMC00899","Urban",33.717471,-117.788803
"237","River 2013","SMC00903","Open",34.178323,-116.847298
"238","River 2013","SMC00926","Urban",33.907395,-117.882968
"239","River 2013","SMC00958","Urban",33.825326,-117.998944
"240","River 2013","SMC00963","Urban",33.564016,-117.651403
"241","River 2013","SMC01046","Urban",32.795095,-117.184945
"242","River 2013","SMC01136","Open",34.627623,-118.74403
"243","River 2013","SMC01142","Open",32.735477,-116.652682
"244","River 2013","SMC01174","Urban",33.016775,-117.016461
"245","River 2013","SMC01248","Open",34.258957,-117.744993
"246","River 2013","SMC01257","Urban",33.608422,-117.618596
"247","River 2013","SMC01258","Urban",32.649495,-117.058868
"248","River 2013","SMC01260","Urban",34.065024,-117.974734
"249","River 2013","SMC01358","Urban",33.909652,-118.246733
"250","River 2013","SMC01367","Open",34.21451,-117.328886
"251","River 2013","SMC01413","Open",33.305522,-116.806274
"252","River 2013","SMC01454","Urban",33.955042,-117.861277
"253","River 2013","SMC01464","Urban",34.275165,-118.526661
"254","River 2013","SMC01504","Open",34.253273,-117.71385
"255","River 2013","SMC01523","Open",34.095359,-116.982256
"256","River 2013","SMC01536","Open",34.56909,-118.392126
"257","River 2013","SMC01555","Urban",33.549988,-117.779665
"258","River 2013","SMC01559","Open",34.20984,-117.45726
"259","River 2013","SMC01606","Urban",32.841989,-117.234811
"260","River 2013","SMC01655","Open",34.080503,-117.06359
"261","River 2013","SMC01656","Urban",34.156332,-118.53627
"262","River 2013","SMC01662","Urban",33.924803,-117.956658
"263","River 2013","SMC01671","Open",34.169628,-116.825584
"264","River 2013","SMC01689","Urban",33.268145,-117.23574
"265","River 2013","SMC01692","Urban",34.197986,-118.169726
"266","River 2013","SMC01728","Open",34.574901,-118.460022
"267","River 2013","SMC01772","Urban",34.110013,-118.122805
"268","River 2013","SMC01783","Open",34.190183,-117.272748
"269","River 2013","SMC01805","Open",33.986675,-117.142287
"270","River 2013","SMC01808","Open",34.309404,-118.073165
"271","River 2013","SMC01824","Urban",34.091169,-117.75598
"272","River 2013","SMC01881","Urban",33.235485,-117.341678
"273","River 2013","SMC01902","Urban",34.010369,-117.856021
"1100","River 2018","402M00058","Open",34.444421,-119.296863
"275","River 2018","402M00066","Open",34.293238,-119.307443
"410","River 2018","402M00082","Open",34.289978,-119.307881
"510","River 2018","402M00110","Open",34.426005,-119.303083
"810","River 2018","402M00114","Open",34.417059,-119.368499
"910","River 2018","402M00127","Open",34.424704,-119.264705
"1310","River 2018","403M01560","Open",34.235362,-119.212348
"1510","River 2018","403M01565","Open",34.379668,-119.064247
"1610","River 2018","403M01571","Open",34.586199,-119.278263
"1710","River 2018","403M01580","Open",34.234319,-119.231198
"1810","River 2018","403M01626","Open",34.434956,-119.087473
"1910","River 2018","403M05798","Open",34.36334429,-118.4277212
"2010","River 2018","403M05800","Open",34.52907,-118.52244
