objectid,stationid,sampledate,latitude,longitude,watershed,river_sitedescription,debriscategory,debrisitem,resulttotal
440,412M08641,6/20/18,34.04861,-118.2298,Los Angeles,Los Angeles River,Plastic,Plastic Bottles,1
441,412M08641,6/20/18,34.04861,-118.2298,Los Angeles,Los Angeles River,Plastic,Soft Plastic Pieces,1
455,412M08641,6/20/18,34.04861,-118.2298,Los Angeles,Los Angeles River,Miscellaneous,Ceramic Pots/Shards,1
442,412M08641,6/20/18,34.04861,-118.2298,Los Angeles,Los Angeles River,Plastic,Wrapper/Wrapper Pieces,10
453,412M08641,6/20/18,34.04861,-118.2298,Los Angeles,Los Angeles River,Metal,Metal Other,4
454,412M08641,6/20/18,34.04861,-118.2298,Los Angeles,Los Angeles River,Miscellaneous,Misc. Other,1
434,412M08641,6/20/18,34.04861,-118.2298,Los Angeles,Los Angeles River,Plastic,Container Cap/Pieces,3
433,412M08641,6/20/18,34.04861,-118.2298,Los Angeles,Los Angeles River,Plastic,Cigarette Butts,7
447,412M08641,6/20/18,34.04861,-118.2298,Los Angeles,Los Angeles River,Construction,Rebar,1
435,412M08641,6/20/18,34.04861,-118.2298,Los Angeles,Los Angeles River,Plastic,Foam Plate,1
444,412M08641,6/20/18,34.04861,-118.2298,Los Angeles,Los Angeles River,Fabric_Cloth,"Natural (Cotton, Wool)",2
445,412M08641,6/20/18,34.04861,-118.2298,Los Angeles,Los Angeles River,Fabric_Cloth,Fabric Other,1
446,412M08641,6/20/18,34.04861,-118.2298,Los Angeles,Los Angeles River,Biodegradable,Paper/ cardboard,14
443,412M08641,6/20/18,34.04861,-118.2298,Los Angeles,Los Angeles River,Plastic,Plastic Other,3
449,412M08641,6/20/18,34.04861,-118.2298,Los Angeles,Los Angeles River,Metal,Aluminum Foil pieces,3
436,412M08641,6/20/18,34.04861,-118.2298,Los Angeles,Los Angeles River,Plastic,Hard Plastic Container,1
451,412M08641,6/20/18,34.04861,-118.2298,Los Angeles,Los Angeles River,Metal,Metal Bottle Caps,5
470,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Plastic,Container Cap/Pieces,9
468,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Plastic,Beverage Bottles,18
494,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Metal,Metal Other,11
469,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Plastic,Cigarette Butts,3
478,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Plastic,Foam Food Containers,1
471,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Plastic,Cups,11
472,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Plastic,Lid,3
473,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Plastic,Lighters,2
