Bight_2018,Bight_1998,Bight_2003,Bight_2008,Bight_2013
B18-10363,NA,B03-4252,B08-7280,B13-9201
B18-10364,NA,B03-4074,B08-7251,B13-9190
B18-10366,NA,B03-4188,B08-7212,B13-9155
B18-10367,NA,B03-4009,B08-7207,B13-9149
B18-10368,NA,B03-4124,B08-7206,B13-9148
B18-10371,NA,B03-4001,B08-7175,B13-9133
B18-10373,NA,B03-4216,B08-7168,B13-9132
B18-10375,NA,B03-4160,B08-7126,B13-9109
B18-10377,NA,B03-4060,B08-7121,B13-9093
B18-10380,NA,B03-4100,B08-7104,B13-9084
B18-10381,NA,B03-4196,B08-7099,B13-9057
B18-10382,NA,B03-4027,B08-7588,B13-9378
B18-10383,NA,B03-4347,B08-7586,B13-9376
B18-10384,NA,B03-4155,B08-7573,B13-9373
B18-10385,NA,B03-4163,B08-7555,B13-9365
B18-10386,NA,B03-4115,B08-7556,B13-9366
B18-10387,NA,B03-4051,B08-7551,B13-9363
B18-10388,B98-2516,NA,B08-7543,B13-9360
B18-10389,B98-2522,NA,B08-7540,B13-9357
B18-10390,B98-2490,NA,B08-7529,B13-9351
B18-10391,NA,B03-4029,B08-7520,B13-9345
B18-10392,B98-2520,NA,B08-7518,B13-9343
B18-10393,B98-2491,NA,B08-7506,B13-9329
B18-10394,NA,B03-4159,B08-7493,B13-9315
B18-10395,B98-2467,NA,B08-7475,B13-9304
B18-10396,B98-2492,NA,B08-7438,B13-9274
