Region,Total Area
Bight,16679.63577
Bays,70.49142207
Estuaries,11.62299037
Brackish Estuaries,4.590787354
Marinas,16.56149047
Ports,27.2118504
Channel Islands,2084.803587
Inner Shelf,1172.481541
Mid shelf,2019.783012
outer shelf,605.4818248
upper slope,3130.623361
lower slope,7535.983907
